Pop	N	A	He	Ho	Fis	N.Missing	P.GT	A.se	He.se	Ho.se	Fis.se	N.Missing.se	P.GT.se	related	sim
Pop	109	6	0.6512	0.6812	-0.0488	0	99.0825	0.378	0.0319	0.0303	0.0168	0	0.9175	0.122268399592253	47
Pop	109	6	0.6462	0.6512	-0.0025	0	99.885	0.378	0.0354	0.0475	0.0297	0	0.115	0.132846177370031	48
Pop	109	6	0.655	0.6675	-0.0175	0	99.7712	0.378	0.0254	0.0331	0.0168	0	0.2287	0.127019928644241	49
Pop	109	5.875	0.6625	0.6738	-0.0162	0	98.5087	0.4795	0.028	0.0351	0.0241	0	1.4913	0.130648640842678	50
Pop	109	6.125	0.665	0.6762	-0.0137	0	100	0.4407	0.0291	0.0393	0.0265	0	0	0.128363421678559	51
Pop	109	5.75	0.6438	0.6512	-0.0125	0	99.5413	0.3134	0.034	0.0382	0.0314	0	0.4588	0.132786034658512	52
Pop	109	6.125	0.6587	0.6688	-0.0137	0	99.6562	0.4407	0.0336	0.037	0.0255	0	0.3437	0.129430767923887	53
Pop	109	6.125	0.6438	0.6538	-0.0175	0	99.0825	0.4407	0.0278	0.0289	0.0161	0	0.9175	0.132473037716616	54
Pop	109	6	0.6625	0.6588	0.0063	0	99.885	0.4629	0.024	0.0297	0.0234	0	0.115	0.124074481821271	55
Pop	109	6.125	0.6637	0.6762	-0.0162	0	99.885	0.4407	0.0307	0.0359	0.0212	0	0.115	0.12687286782195	56
Pop	109	5.875	0.6362	0.6488	-0.0213	0	99.6562	0.4407	0.0278	0.0349	0.0315	0	0.3437	0.132628508324839	57
Pop	109	6.125	0.6538	0.6575	-0.0038	0	99.7712	0.4407	0.0264	0.0357	0.0296	0	0.2287	0.126316326877336	58
Pop	109	5.875	0.6338	0.6825	-0.0788	0	99.6562	0.4795	0.0317	0.0336	0.0166	0	0.3437	0.119391029561672	59
Pop	109	6	0.6362	0.6225	0.02	0	99.7712	0.5	0.0349	0.0427	0.0428	0	0.2287	0.141980003397893	60
Pop	109	6	0.6675	0.67	-0.0037	0	98.28	0.4629	0.0275	0.0356	0.0258	0	1.72	0.132430479102956	61
Pop	109	6	0.6475	0.6525	-0.0062	0	99.1975	0.378	0.0251	0.035	0.0146	0	0.8025	0.130678916072035	62
Pop	109	6	0.6625	0.6725	-0.0125	0	99.0825	0.378	0.0211	0.0377	0.0367	0	0.9175	0.13449334012912	63
Pop	109	6	0.6712	0.6712	0.005	0	98.28	0.378	0.0245	0.0399	0.0303	0	1.72	0.136402752293578	64
Pop	109	6.125	0.65	0.67	-0.03	0	99.5413	0.4407	0.0254	0.0279	0.0115	0	0.4588	0.130776231736323	65
Pop	109	5.875	0.6275	0.6262	0.005	0	99.7712	0.3981	0.0275	0.0327	0.0109	0	0.2287	0.131650900441726	66
Pop	109	5.625	0.6325	0.6788	-0.0713	0	99.7712	0.565	0.0351	0.0391	0.0186	0	0.2287	0.123887003058104	67
Pop	109	5.625	0.6475	0.7138	-0.095	0	98.6238	0.4978	0.0308	0.0459	0.0266	0	1.3763	0.124104366292898	68
Pop	109	6	0.645	0.6637	-0.0288	0	99.885	0.4629	0.0272	0.0329	0.0222	0	0.115	0.131750594631329	69
