Pop	N	A	He	Ho	Fis	N.Missing	P.GT	A.se	He.se	Ho.se	Fis.se	N.Missing.se	P.GT.se	related	sim
Pop	109	8.25	0.7262	0.7088	0.0312	0	99.1975	0.8814	0.0296	0.0451	0.0283	0	0.8025	0.114522494053687	47
Pop	109	8.75	0.73	0.7412	-0.015	0	99.885	0.959	0.0224	0.0311	0.0228	0	0.115	0.104369877675841	48
Pop	109	8.625	0.7212	0.735	-0.0162	0	100	0.8647	0.0274	0.033	0.0119	0	0	0.0981079510703364	49
Pop	109	8.625	0.73	0.7462	-0.0238	0	99.5413	1.068	0.0271	0.0276	0.0167	0	0.4588	0.103978049609242	50
Pop	109	8.875	0.7312	0.7588	-0.0363	0	99.7712	0.9531	0.0271	0.0298	0.015	0	0.2287	0.0995741760108733	51
Pop	109	9	0.7388	0.7625	-0.0338	0	99.885	1	0.0279	0.026	0.0105	0	0.115	0.0950159531090724	52
Pop	109	8.875	0.7438	0.725	0.0262	0	99.4262	0.9342	0.0236	0.0312	0.0258	0	0.5738	0.108862962962963	53
Pop	109	8.5	0.7188	0.7462	-0.0325	0	99.6562	1.0522	0.0326	0.0442	0.0164	0	0.3437	0.096341743119266	54
Pop	109	8.5	0.7338	0.7462	-0.0162	0	99.3125	0.9258	0.026	0.034	0.026	0	0.6875	0.104861892626572	55
Pop	109	8.75	0.735	0.74	-0.0062	0	100	1.0133	0.0275	0.0335	0.0131	0	0	0.10641420319402	56
Pop	109	9	0.7213	0.7325	-0.0175	0	99.6562	0.9258	0.0245	0.0285	0.024	0	0.3437	0.107485490995583	57
Pop	109	9	0.725	0.735	-0.015	0	99.885	1	0.0282	0.0275	0.0146	0	0.115	0.105876180767924	58
Pop	109	8.875	0.7138	0.75	-0.0475	0	100	0.9342	0.0336	0.0424	0.0182	0	0	0.10286792388719	59
Pop	109	8.75	0.7338	0.7225	0.0162	0	99.7712	1.0649	0.0265	0.0351	0.0229	0	0.2287	0.106295769622834	60
Pop	109	9	0.74	0.7375	0.0037	0	99.885	0.982	0.0296	0.0321	0.0194	0	0.115	0.107085830784913	61
