uk.mom	uk.dad	mom.disc	dad.disc	noff	mom.p.disc	dad.p.disc	file
2	2	3	3	109	0.03	0.03	BestConfig.199.txt
0	0	3	3	109	0.03	0.03	BestConfig.2.txt
0	3	5	0	109	0.05	0	BestConfig.20.txt
2	0	2	3	109	0.02	0.03	BestConfig.200.txt
0	2	1	1	109	0.01	0.01	BestConfig.201.txt
2	3	4	2	109	0.04	0.02	BestConfig.202.txt
3	0	4	0	109	0.04	0	BestConfig.203.txt
1	1	2	5	109	0.02	0.05	BestConfig.204.txt
1	0	3	1	109	0.03	0.01	BestConfig.205.txt
1	0	2	3	109	0.02	0.03	BestConfig.206.txt
0	0	0	1	109	0	0.01	BestConfig.207.txt
0	0	1	1	109	0.01	0.01	BestConfig.208.txt
1	0	3	3	109	0.03	0.03	BestConfig.209.txt
0	0	3	2	109	0.03	0.02	BestConfig.21.txt
0	0	4	4	109	0.04	0.04	BestConfig.210.txt
0	0	1	1	109	0.01	0.01	BestConfig.211.txt
0	0	1	1	109	0.01	0.01	BestConfig.212.txt
1	3	6	1	109	0.06	0.01	BestConfig.213.txt
0	1	2	2	109	0.02	0.02	BestConfig.214.txt
1	0	4	4	109	0.04	0.04	BestConfig.215.txt
0	1	4	1	109	0.04	0.01	BestConfig.216.txt
2	1	4	2	109	0.04	0.02	BestConfig.217.txt
3	3	3	0	109	0.03	0	BestConfig.218.txt
1	0	1	1	109	0.01	0.01	BestConfig.219.txt
3	0	4	4	109	0.04	0.04	BestConfig.22.txt
0	2	4	3	109	0.04	0.03	BestConfig.220.txt
0	3	4	2	109	0.04	0.02	BestConfig.221.txt
2	2	5	0	109	0.05	0	BestConfig.222.txt
0	0	2	2	109	0.02	0.02	BestConfig.223.txt
1	3	7	3	109	0.06	0.03	BestConfig.224.txt
0	2	2	3	109	0.02	0.03	BestConfig.225.txt
0	0	1	1	109	0.01	0.01	BestConfig.226.txt
0	3	2	2	109	0.02	0.02	BestConfig.227.txt
1	3	2	1	109	0.02	0.01	BestConfig.228.txt
0	0	2	3	109	0.02	0.03	BestConfig.229.txt
0	2	3	0	109	0.03	0	BestConfig.23.txt
0	0	4	5	109	0.04	0.05	BestConfig.230.txt
0	2	5	3	109	0.05	0.03	BestConfig.231.txt
0	1	0	1	109	0	0.01	BestConfig.232.txt
0	0	1	2	109	0.01	0.02	BestConfig.233.txt
1	2	5	2	109	0.05	0.02	BestConfig.234.txt
0	2	4	1	109	0.04	0.01	BestConfig.235.txt
0	3	3	1	109	0.03	0.01	BestConfig.236.txt
0	0	3	1	109	0.03	0.01	BestConfig.237.txt
1	0	5	1	109	0.05	0.01	BestConfig.238.txt
0	2	4	2	109	0.04	0.02	BestConfig.239.txt
0	1	4	0	109	0.04	0	BestConfig.24.txt
0	2	3	2	109	0.03	0.02	BestConfig.240.txt
0	2	3	1	109	0.03	0.01	BestConfig.241.txt
1	0	3	4	109	0.03	0.04	BestConfig.242.txt
1	1	3	2	109	0.03	0.02	BestConfig.243.txt
0	3	4	2	109	0.04	0.02	BestConfig.244.txt
3	1	8	3	109	0.08	0.03	BestConfig.245.txt
0	0	3	2	109	0.03	0.02	BestConfig.246.txt
0	0	0	2	109	0	0.02	BestConfig.247.txt
0	2	2	4	109	0.02	0.04	BestConfig.248.txt
2	0	1	2	109	0.01	0.02	BestConfig.249.txt
1	0	4	3	109	0.04	0.03	BestConfig.25.txt
2	1	3	2	109	0.03	0.02	BestConfig.250.txt
2	3	2	1	109	0.02	0.01	BestConfig.251.txt
0	0	5	3	109	0.05	0.03	BestConfig.252.txt
1	1	3	3	109	0.03	0.03	BestConfig.253.txt
0	0	1	2	109	0.01	0.02	BestConfig.254.txt
0	2	2	1	109	0.02	0.01	BestConfig.255.txt
6	1	3	3	109	0.03	0.03	BestConfig.256.txt
1	1	3	4	109	0.03	0.04	BestConfig.257.txt
0	1	3	3	109	0.03	0.03	BestConfig.258.txt
0	2	5	3	109	0.05	0.03	BestConfig.259.txt
1	2	5	2	109	0.05	0.02	BestConfig.26.txt
1	3	1	0	109	0.01	0	BestConfig.260.txt
0	2	3	2	109	0.03	0.02	BestConfig.261.txt
1	1	4	3	109	0.04	0.03	BestConfig.262.txt
0	2	3	6	109	0.03	0.06	BestConfig.263.txt
1	0	2	2	109	0.02	0.02	BestConfig.264.txt
0	0	5	2	109	0.05	0.02	BestConfig.265.txt
2	3	5	2	109	0.05	0.02	BestConfig.266.txt
1	1	2	2	109	0.02	0.02	BestConfig.267.txt
0	0	1	1	109	0.01	0.01	BestConfig.268.txt
4	4	3	1	109	0.03	0.01	BestConfig.269.txt
0	1	3	4	109	0.03	0.04	BestConfig.27.txt
1	0	3	1	109	0.03	0.01	BestConfig.270.txt
3	2	4	2	109	0.04	0.02	BestConfig.271.txt
2	0	0	2	109	0	0.02	BestConfig.272.txt
1	0	1	4	109	0.01	0.04	BestConfig.273.txt
0	0	2	1	109	0.02	0.01	BestConfig.274.txt
0	3	4	2	109	0.04	0.02	BestConfig.275.txt
1	0	0	0	109	0	0	BestConfig.276.txt
0	1	6	4	109	0.06	0.04	BestConfig.277.txt
3	0	2	1	109	0.02	0.01	BestConfig.278.txt
2	7	4	0	109	0.04	0	BestConfig.279.txt
1	1	4	1	109	0.04	0.01	BestConfig.28.txt
0	0	2	2	109	0.02	0.02	BestConfig.280.txt
0	0	3	2	109	0.03	0.02	BestConfig.281.txt
0	1	1	3	109	0.01	0.03	BestConfig.282.txt
0	0	2	2	109	0.02	0.02	BestConfig.283.txt
3	1	1	0	109	0.01	0	BestConfig.284.txt
3	2	5	0	109	0.05	0	BestConfig.285.txt
0	0	2	0	109	0.02	0	BestConfig.286.txt
0	3	3	1	109	0.03	0.01	BestConfig.287.txt
0	0	7	2	109	0.06	0.02	BestConfig.288.txt
1	0	4	3	109	0.04	0.03	BestConfig.289.txt
1	2	4	1	109	0.04	0.01	BestConfig.29.txt
0	0	1	0	109	0.01	0	BestConfig.290.txt
0	0	2	1	109	0.02	0.01	BestConfig.291.txt
1	0	2	1	109	0.02	0.01	BestConfig.292.txt
1	2	5	3	109	0.05	0.03	BestConfig.293.txt
